date,harga,produktivitas,produksi,area panen,konsumsi,musim
44562,11759.74759,3.02,1.42,0.47,1560,1
44593,11776.26528,3.05,2.35,0.77,1560,1
44621,11756.49082,3.12,5.49,1.76,1560,1
44652,11761.40398,3.13,4.45,1.42,1560,1
44682,11723.0666,2.87,2.38,0.83,1560,1
44713,11697.17361,2.89,2.51,0.87,1560,1
44743,11705.06778,2.91,2.71,0.93,1560,0
44774,11801.98512,2.90,2.35,0.81,1560,0
44805,11992.84609,2.98,2.5,0.84,1560,0
44835,12130.46083,3.01,2.38,0.79,1560,0
44866,12196.85418,3.08,1.88,0.61,1560,1
44896,12426.91873,3.08,1.11,0.36,1560,1
44927,12666.23048,2.98,1.34,0.45,1558,1
44958,13016.58859,3.03,2.85,0.94,1558,1
44986,13073.42253,3.11,5.13,1.65,1558,1
45017,13088.72454,3.13,3.66,1.17,1558,1
45047,13141.48964,2.95,2.86,0.97,1558,1
45078,13179.14044,2.94,2.79,0.95,1558,1
45108,13187.05374,2.99,2.48,0.83,1558,0
45139,13350.12227,2.93,2.52,0.86,1558,0
45170,14035.20823,2.94,2.47,0.84,1558,0
45200,14299.1491,3.07,2.06,0.67,1558,0
45231,14359.83938,3.16,1.61,0.51,1558,1
45261,14407.67455,3.17,1.11,0.35,1558,1
